Qty,Vendor Number,Description,Notes,List Unit Price,List Extended,Link,Alt Link
,,,,,,,
,,,,,,Note that links above are suggested purchases. Some links (esp Amazon) actually contain multiples of the item.,
,Bolt Depot,,,,,,
12,92125A128,"M3 Flathead Screw, 8mm long",,$0.07,$0.84,https://www.boltdepot.com/Product-Details.aspx?product=7213,
17,92095A181,"M3 Buttonhead Screw, 8mm long",,$0.06,$1.02,https://www.boltdepot.com/Product-Details.aspx?product=7219,
4,91292A024,"M3 Socket Cap Screw, 40mm long",,$0.17,$0.68,https://www.boltdepot.com/Product-Details.aspx?product=6387,
2,92605A098,"M3 Set Screw, 4mm len",,,,,
,,,,,,,
,Filastruder,,,,,,
7,UltrasertM3Short,M3 Tapered Heat Set Insert,,$4.99,$4.99,https://www.filastruder.com/products/ultrasert-ii-metric-inserts-pack-of-30?_pos=1&_sid=3b910ec1d&_ss=r,
3,JubToolBall,M3 8mm Threaded Tool Balls,,$2.99,$2.99,https://www.filastruder.com/products/tool-balls-for-jubilee-3-pack?_pos=1&_sid=67e00ff4a&_ss=r,
1,LDO-42STH25-1404MAC,LDO-42STH25-1404MAC Nema 17 Stepper Motor,,$16.99,$16.99,https://www.filastruder.com/products/ldo-stepper-motors-all-types?_pos=4&_sid=9fd493a6c&_ss=r&variant=17240374935623,
1,JubWedgePlate,Wedge Plate,,$1.99,$1.99,https://www.filastruder.com/products/wedge-plate-for-jubilee?_pos=2&_sid=67e00ff4a&_ss=r,
1,,16-T 2GT Drive Pulley for 6mm belt,,$3.99,$3.99,https://www.filastruder.com/products/gates-2gt-pulley?_pos=2&_sid=509ec3051&_ss=r&variant=15443734364231,
,,,,,,,
,McMaster-Carr,,,,,,
2,6655K54,"3-piece, Thrust Bearing, 8mm Bore",,$3.19,$6.38,https://www.mcmaster.com/6655K54/,http://catalog.torquetrans.com/catalog3/d/torquetransmission/?c=products&cid=thrust-bearings-carbon-steel-metric&id=20304
1,6659K115,Oil-Embedded Flanged Sleeve Bearing,,$2.16,$2.16,https://www.mcmaster.com/6659K115/,
2,3391A51,M4 Spring Plunger,,$4.60,$9.20,https://www.mcmaster.com/3391A31-3391A51/,
1,9520T4,8mm Nonmarring Clamp Collar,,$8.95,$8.95,https://www.mcmaster.com/9520T4/,
4,94669A318,"M3 Spacer, 18mm long",,$1.92,$7.68,https://www.mcmaster.com/94669A318/,
,,,,,,,
,Amazon,,,,,,
1,,Nema 17 Motor Heatsink,,$10.98,$10.98,https://www.amazon.com/gp/product/B01HSBM72W,
1,,"MGN9 Rail,. 200mm long with Carriage Block",,$17.59,$17.59,https://www.amazon.com/gp/product/B08HYFM5BP,
1,,"2GT Pulley, 40T",,$7.99,$7.99,https://www.amazon.com/gp/product/B07K6BRL4K,
4,,5x9x2 O-Ring,,$5.99,$5.99,https://www.amazon.com/gp/product/B07MNMD17R/,
1,,"T8x2 Leadscrew, 150mm long",,$8.99,$8.99,https://www.amazon.com/gp/product/B07QXYVW8R,
1,,8mm T8x2 Small Delrin Anti-Backlash Nut ,,$5.19,$5.19,https://www.amazon.com/ReliaBot-300mm-Thread-Printer-Machine/dp/B0829M5HPD,https://www.zyltech.com/delrin-anti-backlash-nut-small-flange-size-and-hole-pattern-t8x8-or-t8x2/
1,,"110T, 2GT Timing Belt, 6mm Tall",,$15.88,$15.88,https://www.amazon.com/dp/B014SSZ3EM,
,,,,,,,
,Aliexpress,,,,,,
1,,Stainless Steel Band 0.4x5x5000mm,"for wire management. Only 915mm necessary.
Loose ends are eye hazards since they are very sharp. 
Heat shrink both ends for eye protection.",$28.52,$28.52,https://www.aliexpress.com/item/1005001471862904.html,
,,,,,,,
,,,,Total:,$168.99,,